id,recommend_date,code,name,rank,score,combo,regime,buy_reason,sell_reason,status,exit_date,highest_nav,return_rate,feature_snapshot,entry_nav,candidate_codes,created_at,rec_count,vetoed_json,reco_path,decision_logic
4,2026-08-14,008640,方正富邦科技创新A,1,0.08574229703992292,4.226975103413366,BEAR,"这只基金主要投资通信设备行业，重仓了光迅科技、长芯博创等通信龙头，同时配置了云南锗业、智谱等成长性个股。通信行业当前有明确政策支持——国家推进新一代通信网建设，空天地海一体化信息通信布局加速落地，叠加外资加速配置中国半导体产业链，板块景气度持续上行。虽然该基金近一个月下跌了7.8%，跑输同类平均2.1%的水平，但近期短期势头强劲，20天内上涨了14.6%，主力资金持续流入通信板块53亿元，说明聪明钱正在抢筹，后续动能有望延续。 | 否决记录: [{""code"": ""002345"", ""name"": ""华夏高端制造混合A"", ""reason"": ""通信设备敞口仅12.2%，远低于选中基金的34.2%，与推荐赛道匹配度较弱；短期动量+11.5%不及选中基金；近1月偏离赛道同行中位数9.4%，落后于选中基金的12.5%，在熊市中进攻弹性不足。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤28.50%）,EXIT,2026-08-26,,0.015699580194375784,"{""sector"": ""通信设备"", ""rbsa_industry_1"": ""通信设备"", ""rbsa_weight_1"": 34.18000000000001, ""rbsa_industry_2"": ""软件服务"", ""rbsa_weight_2"": 9.83, ""rbsa_industry_3"": ""稀有金属"", ""rbsa_weight_3"": 9.4, ""momentum_20d"": 14.597337551074197, ""hurst_60d"": 0.7006268886123476, ""calmar"": -1.0612301465478928, ""sector_rel_momentum"": 16.5, ""sector_rel_calmar"": -0.3, ""top_holdings"": [{""stock_code"": ""02513"", ""stock_name"": ""智谱"", ""weight"": 9.83}, {""stock_code"": ""002428"", ""stock_name"": ""云南锗业"", ""weight"": 9.4}, {""stock_code"": ""301093"", ""stock_name"": ""华兰股份"", ""weight"": 9.24}, {""stock_code"": ""002281"", ""stock_name"": ""光迅科技"", ""weight"": 8.64}, {""stock_code"": ""300548"", ""stock_name"": ""长芯博创"", ""weight"": 7.6}], ""holdings_report_date"": ""2026-06-30""}",1.7389,"[""008640"", ""002345""]",2026-08-14 04:41:58,1,,sector,
5,2026-08-14,001154,华银平安中国主题灵活配置,2,0.08752341246337972,4.254957665234542,BEAR,"这只基金主要投资半导体、电子元件和通信设备行业，重仓了寒武纪、中际旭创、海光信息等优质科技公司，正好契合国家大力发展新一代通信网和国产替代的政策方向。近期半导体板块在外资加速配置和AI需求带动下表现活跃，基金近1个月上涨了6.6%，跑赢了同行平均水平。 | 否决记录: [{""code"": ""015412"", ""name"": ""西部利得数字产业混合A"", ""reason"": ""重仓股中包含首都在线（互联网技术）、优刻得（互联网服务）、金山云（软件服务），与推论明确回避的互联网技术赛道相冲突，持仓风格偏离本轮主线。""}]",EMA60趋势退出: NAV连续2日<EMA60（自入场后高点回撤8.06%）,EXIT,2026-09-12,,-0.07550239234449763,"{""sector"": ""半导体"", ""rbsa_industry_1"": ""半导体"", ""rbsa_weight_1"": 22.700000000000003, ""rbsa_industry_2"": ""公路铁路"", ""rbsa_weight_2"": 15.549999999999999, ""rbsa_industry_3"": ""电子元件"", ""rbsa_weight_3"": 14.829999999999998, ""momentum_20d"": 11.288604898828547, ""hurst_60d"": 0.68065580198519, ""calmar"": 7.957804843333802, ""sector_rel_momentum"": 10.6, ""sector_rel_calmar"": 8.5, ""top_holdings"": [{""stock_code"": ""688256"", ""stock_name"": ""寒武纪"", ""weight"": 7.68}, {""stock_code"": ""603186"", ""stock_name"": ""华正新材"", ""weight"": 6.31}, {""stock_code"": ""300308"", ""stock_name"": ""中际旭创"", ""weight"": 6.16}, {""stock_code"": ""688041"", ""stock_name"": ""海光信息"", ""weight"": 5.65}, {""stock_code"": ""688519"", ""stock_name"": ""南亚新材"", ""weight"": 5.44}], ""holdings_report_date"": ""2026-06-30""}",2.09,"[""015412"", ""001154""]",2026-08-14 04:42:09,1,,sector,
6,2026-08-17,006502,财通集成电路产业股票A,2,0.08574229703992292,4.933112564462513,BEAR,"这只基金重仓的是电子设备制造、通信设备和电子元件，比如中际旭创、新易盛、生益电子这些公司，都是当前科技制造链条上的核心企业。最近国家大力支持硬科技，半导体板块领涨，资金也大量流入电子行业，这些公司直接受益。虽然近1月涨幅为-5.3%，但主要是市场整体调整，行业本身的景气度和政策支持都很明确，长期潜力更大。 | 否决记录: [{""code"": ""001042"", ""name"": ""华夏领先股票"", ""reason"": ""这只基金虽然近1月跌幅较小，但它的电子设备制造仓位只有10%左右，更多是分散在稀有金属、输变电设备等方向，跟当前最热的电子科技赛道匹配度不高。而且它的风险调整后表现较差，走势也不太稳定，所以不选它。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤31.42%）,EXIT,2026-08-26,,-0.12490898095696501,"{""sector"": ""电子设备制造"", ""rbsa_industry_1"": ""电子设备制造"", ""rbsa_weight_1"": 39.269999999999996, ""rbsa_industry_2"": ""通信设备"", ""rbsa_weight_2"": 34.24, ""rbsa_industry_3"": ""电子元件"", ""rbsa_weight_3"": 26.139999999999997, ""momentum_20d"": 20.93900942736888, ""hurst_60d"": 0.7232728905131891, ""calmar"": 1.2567918527763802, ""sector_rel_momentum"": 17.0, ""sector_rel_calmar"": 2.0, ""top_holdings"": [{""stock_code"": ""301200"", ""stock_name"": ""大族数控"", ""weight"": 9.84}, {""stock_code"": ""301377"", ""stock_name"": ""鼎泰高科"", ""weight"": 9.84}, {""stock_code"": ""688183"", ""stock_name"": ""生益电子"", ""weight"": 9.69}, {""stock_code"": ""300308"", ""stock_name"": ""中际旭创"", ""weight"": 9.64}, {""stock_code"": ""300502"", ""stock_name"": ""新易盛"", ""weight"": 9.61}], ""holdings_report_date"": ""2026-06-30""}",7.7869,"[""001042"", ""006502""]",2026-08-17 04:42:22,1,,sector,
7,2026-08-17,257070,国联安优选行业混合,1,0.0760783861804895,3.965940326644504,BEAR,"这只基金主要投向电子元件和半导体产业链，重仓了鼎泰高科、南亚新材、广合科技等 companies，都是当前政策支持、资金追捧的方向——最近半导体板块单日领涨近4%，主力资金净流入超过130亿，市场热度非常高。虽然近1个月上涨了负5.9%，但20日动能为正且持续积累，近期走势已有改善迹象，适合在熊市中布局有政策加持的成长赛道。 | 否决记录: [{""code"": ""002135"", ""name"": ""广发鑫源混合A"", ""reason"": ""该基金电子元件仓位仅14.8%，大量分散在电源设备、通用设备等与半导体主线无关的赛道，主题纯度不足；且卡玛比率为负0.99，在熊市环境下风险敞口过大，回撤控制不及另一只候选基金，不符合当前聚焦科技制造的配置逻辑。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤31.79%）,EXIT,2026-08-26,,-0.0970691045980101,"{""sector"": ""电子元件"", ""rbsa_industry_1"": ""电子元件"", ""rbsa_weight_1"": 35.510000000000005, ""rbsa_industry_2"": ""专用设备"", ""rbsa_weight_2"": 12.71, ""rbsa_industry_3"": ""通信设备"", ""rbsa_weight_3"": 10.83, ""momentum_20d"": 16.96760040499492, ""hurst_60d"": 0.7486997632189835, ""calmar"": 0.47344407980519326, ""sector_rel_momentum"": 13.9, ""sector_rel_calmar"": 1.1, ""top_holdings"": [{""stock_code"": ""301377"", ""stock_name"": ""鼎泰高科"", ""weight"": 7.3}, {""stock_code"": ""688519"", ""stock_name"": ""南亚新材"", ""weight"": 6.94}, {""stock_code"": ""001389"", ""stock_name"": ""广合科技"", ""weight"": 6.87}, {""stock_code"": ""301200"", ""stock_name"": ""大族数控"", ""weight"": 6.51}, {""stock_code"": ""688630"", ""stock_name"": ""芯碁微装"", ""weight"": 6.2}], ""holdings_report_date"": ""2026-06-30""}",6.9315,"[""257070"", ""002135""]",2026-08-17 04:43:19,1,,sector,
8,2026-08-18,006502,财通集成电路产业股票A,2,0.08574229703992292,5.9151957403999464,BULL,"这只基金主要投资电子设备制造和通信设备，重仓股包括大族数控、鼎泰高科、生益电子、中际旭创、新易盛。这些公司做的是电子零部件、光模块和通信设备，正好赶上国家推动县域消费升级和算力网络建设的大方向，需求很旺。基金最近1个月涨了2.3%，虽然不算猛，但走势比较稳，没有大起大落。相比另一只基金，这只的持仓更集中在电子和通信上，方向更纯，而且重仓的光模块公司是算力基建的核心受益者，后续政策支持力度大，值得拿住。 | 否决记录: [{""code"": ""001042"", ""name"": ""华夏领先股票"", ""reason"": ""卡玛比率为负，说明风险调整后收益差；近1月涨幅8.1%但20日动量高达28.1%，短期涨幅过大且偏离赛道中位数21.8%，存在追高风险；行业分布分散，电子设备制造占比仅10.7%，主题纯度不足。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤31.42%）,EXIT,2026-08-26,,-0.12490898095696501,"{""sector"": ""电子设备制造"", ""rbsa_industry_1"": ""电子设备制造"", ""rbsa_weight_1"": 39.269999999999996, ""rbsa_industry_2"": ""通信设备"", ""rbsa_weight_2"": 34.24, ""rbsa_industry_3"": ""电子元件"", ""rbsa_weight_3"": 26.139999999999997, ""momentum_20d"": 20.93900942736888, ""hurst_60d"": 0.7232728905131891, ""calmar"": 1.2567918527763802, ""sector_rel_momentum"": 16.2, ""sector_rel_calmar"": 2.0, ""top_holdings"": [{""stock_code"": ""301200"", ""stock_name"": ""大族数控"", ""weight"": 9.84}, {""stock_code"": ""301377"", ""stock_name"": ""鼎泰高科"", ""weight"": 9.84}, {""stock_code"": ""688183"", ""stock_name"": ""生益电子"", ""weight"": 9.69}, {""stock_code"": ""300308"", ""stock_name"": ""中际旭创"", ""weight"": 9.64}, {""stock_code"": ""300502"", ""stock_name"": ""新易盛"", ""weight"": 9.61}], ""holdings_report_date"": ""2026-06-30""}",8.1027,"[""001042"", ""006502""]",2026-08-18 04:42:10,1,,sector,
9,2026-08-18,005571,中银证券新能源混合A,1,0.08180027300702643,5.073838803062425,BULL,"这只基金主要投资电源设备、电子设备制造和专用设备，正好踩在当前政策发力的几个方向上。重仓的帝尔激光、罗博特科、骄成超声等公司，分别属于光伏设备、智能制造和高端装备，都是国家大力支持的新兴产业。最近一个月这只基金涨了4.6%，走势比较稳健，而且回撤控制得比同类好，拿起来更安心。相比之下，另一只基金虽然涨得多一点，但重仓了不少航运股，跟当前政策主线关系不大，而且波动更大，所以更推荐这只。 | 否决记录: [{""code"": ""015641"", ""name"": ""银华数字经济股票发起式A"", ""reason"": ""行业分布含港口航运和贸易，偏离推荐赛道；卡玛比率-2.38，回撤控制较差；近1月涨幅+6.7%但组合分较低，短期涨幅偏大且风险收益比不佳。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤26.38%）,EXIT,2026-08-26,,-0.08713566967383779,"{""sector"": ""电源设备"", ""rbsa_industry_1"": ""电源设备"", ""rbsa_weight_1"": 15.68, ""rbsa_industry_2"": ""电子设备制造"", ""rbsa_weight_2"": 13.4, ""rbsa_industry_3"": ""专用设备"", ""rbsa_weight_3"": 8.62, ""momentum_20d"": 19.155354449472096, ""hurst_60d"": 0.7402485260522594, ""calmar"": -1.7299631756467029, ""sector_rel_momentum"": 14.1, ""sector_rel_calmar"": 0.4, ""top_holdings"": [{""stock_code"": ""688322"", ""stock_name"": ""奥比中光"", ""weight"": 4.75}, {""stock_code"": ""300776"", ""stock_name"": ""帝尔激光"", ""weight"": 4.67}, {""stock_code"": ""002384"", ""stock_name"": ""东山精密"", ""weight"": 4.43}, {""stock_code"": ""300757"", ""stock_name"": ""罗博特科"", ""weight"": 4.31}, {""stock_code"": ""688392"", ""stock_name"": ""骄成超声"", ""weight"": 4.31}], ""holdings_report_date"": ""2026-06-30""}",2.3056,"[""005571"", ""015641""]",2026-08-18 04:42:25,1,,sector,
10,2026-08-19,257070,国联安优选行业混合,1,0.0760783861804895,5.626253876902204,BEAR,"在当前的市场环境下，我们更看重基金的风险控制能力而非短期爆发。国联安优选行业混合重点配置了电子元件和专用设备板块，重仓股包括鼎泰高科、广合科技、芯碁微装等，都是近期受益于政策支持和实际需求增长的优质企业。河南数据显示电子元件产量同比增长11.8%，叠加电子元件板块近一个月上涨了约7.4%，跑赢了同赛道平均水平，且该基金的风险收益比表现更健康。相比之下，另一只候选基金虽然近期涨幅更大，但波动性较高，在熊市环境中可能面临较大的回撤风险。 | 否决记录: [{""code"": ""002135"", ""name"": ""广发鑫源混合A"", ""reason"": ""虽然近一个月涨幅达18.4%且短期动量强劲，但卡玛系数为-0.99，处于负值区间，说明其最大回撤幅度已远超同期收益，风险收益比恶化。同时被标记为走势异常，短期暴涨可能不可持续，在熊市中追高风险极大。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤31.79%）,EXIT,2026-08-26,,-0.0970691045980101,"{""sector"": ""电子元件"", ""rbsa_industry_1"": ""电子元件"", ""rbsa_weight_1"": 35.510000000000005, ""rbsa_industry_2"": ""专用设备"", ""rbsa_weight_2"": 12.71, ""rbsa_industry_3"": ""通信设备"", ""rbsa_weight_3"": 10.83, ""momentum_20d"": 16.96760040499492, ""hurst_60d"": 0.7486997632189835, ""calmar"": 0.47344407980519326, ""sector_rel_momentum"": 13.0, ""sector_rel_calmar"": 1.2, ""top_holdings"": [{""stock_code"": ""301377"", ""stock_name"": ""鼎泰高科"", ""weight"": 7.3}, {""stock_code"": ""688519"", ""stock_name"": ""南亚新材"", ""weight"": 6.94}, {""stock_code"": ""001389"", ""stock_name"": ""广合科技"", ""weight"": 6.87}, {""stock_code"": ""301200"", ""stock_name"": ""大族数控"", ""weight"": 6.51}, {""stock_code"": ""688630"", ""stock_name"": ""芯碁微装"", ""weight"": 6.2}], ""holdings_report_date"": ""2026-06-30""}",7.0661,"[""257070"", ""002135""]",2026-08-19 04:44:15,1,,sector,
11,2026-08-19,004044,金鹰转型动力混合,2,0.06216996933512624,7.762449381446588,BEAR,"这只基金重点布局通信设备行业，重仓股包括亨通光电和中天科技，这两家公司都是光通信和海底电缆领域的龙头企业，受益于全球AI算力建设和卫星通信合作。同时基金还配置了稀有金属和半导体材料，比如中船特气，这类公司有政策支持，抗风险能力更强。最近一个月基金涨了13.5%，在同类基金中表现突出，而且走势比较稳，没有大起大落，适合当前市场环境。 | 否决记录: [{""code"": ""008640"", ""name"": ""方正富邦科技创新A"", ""reason"": ""虽然近1月涨幅高达20.1%，但卡玛比率为负，说明回撤控制能力差；Hurst指数较低且走势异常，短期涨幅偏离赛道中位数过多，追高风险大，不符合熊市稳健配置要求。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤23.09%）,EXIT,2026-08-26,,-0.06193425440686051,"{""sector"": ""通信设备"", ""rbsa_industry_1"": ""通信设备"", ""rbsa_weight_1"": 20.17, ""rbsa_industry_2"": ""稀有金属"", ""rbsa_weight_2"": 14.469999999999999, ""rbsa_industry_3"": ""半导体"", ""rbsa_weight_3"": 14.3, ""momentum_20d"": 22.748538011695917, ""hurst_60d"": 0.8235138627475233, ""calmar"": 0.5391462244231611, ""sector_rel_momentum"": 21.4, ""sector_rel_calmar"": 1.3, ""top_holdings"": [{""stock_code"": ""688146"", ""stock_name"": ""中船特气"", ""weight"": 10.55}, {""stock_code"": ""600487"", ""stock_name"": ""亨通光电"", ""weight"": 10.4}, {""stock_code"": ""603162"", ""stock_name"": ""海通发展"", ""weight"": 9.97}, {""stock_code"": ""600522"", ""stock_name"": ""中天科技"", ""weight"": 9.77}, {""stock_code"": ""600378"", ""stock_name"": ""昊华科技"", ""weight"": 9.18}], ""holdings_report_date"": ""2026-06-30""}",0.6297,"[""008640"", ""004044""]",2026-08-19 04:44:23,1,,sector,
12,2026-08-20,006923,前海开源沪港深非周期股票A,1,0.0084325582555396,2.7018009000422603,BEAR,"这只基金重点布局了交通运输相关股票，比如极兔速递，同时还有腾讯、阿里巴巴这些大型互联网公司，组合比较均衡。最近交通运输部专门开了关于“人工智能+交通运输”的发布会，对相关行业是明确利好。基金近1月涨了4.5%，在同类里表现靠前，而且风险控制相对较好。另一只基金虽然也沾边交通运输，但近期业绩波动大，重仓的股票和这轮政策主题关系不够直接，所以更推荐这只。 | 否决记录: [{""code"": ""004099"", ""name"": ""前海开源沪港深景气行业精选混合"", ""reason"": ""卡玛比率为负，风险收益比差；重仓股中中国船舶租赁、金沙中国等与当前政策催化主题关联度弱，且近1月涨幅仅+2.7%，相对赛道内优势不足。""}]",EMA60趋势退出: NAV连续2日<EMA60（自高点回撤4.39%）,EXIT,2026-09-04,,-0.016646249189306017,"{""sector"": ""工用运输"", ""rbsa_industry_1"": ""工用运输"", ""rbsa_weight_1"": 14.96, ""rbsa_industry_2"": ""资讯科技器材"", ""rbsa_weight_2"": 12.09, ""rbsa_industry_3"": ""旅游及消闲设施"", ""rbsa_weight_3"": 11.11, ""momentum_20d"": 6.680984889161623, ""hurst_60d"": 0.7751586456126787, ""calmar"": 0.6603461408729104, ""sector_rel_momentum"": 4.5, ""sector_rel_calmar"": 1.9, ""top_holdings"": [{""stock_code"": ""00700"", ""stock_name"": ""腾讯控股"", ""weight"": 9.74}, {""stock_code"": ""01519"", ""stock_name"": ""极兔速递-W"", ""weight"": 9.59}, {""stock_code"": ""09988"", ""stock_name"": ""阿里巴巴-W"", ""weight"": 9.51}, {""stock_code"": ""00285"", ""stock_name"": ""比亚迪电子"", ""weight"": 7.92}, {""stock_code"": ""02588"", ""stock_name"": ""中银航空租赁"", ""weight"": 7.01}], ""holdings_report_date"": ""2026-06-30""}",1.3877,"[""006923"", ""004099""]",2026-08-20 07:01:23,1,,sector,
13,2026-08-21,001466,华富永鑫灵活配置混合A,2,0.08239600070221206,9.358155059691603,BEAR,"这只基金重仓的都是黄金类股票，比如赤峰黄金、山东黄金、中金黄金等，都是国内有名的金矿公司。最近黄金板块因为避险和通胀预期涨得很好，这些公司直接受益。基金近1月涨幅达到29.7%，表现很强，而且它的回撤控制比另一只更好，拿起来更安心。加上当前市场环境下黄金有政策面和资金面支撑，所以选它。 | 否决记录: [{""code"": ""018751"", ""name"": ""山证资管精选行业混合发起式C"", ""reason"": ""虽然近1月涨幅更高（30.1%），但卡玛比率较低（1.84），说明波动和回撤风险更大；且标注走势异常，短期涨幅偏离赛道中位数过多，存在过热回调风险。""}]",,WARNING,,,,"{""sector"": ""贵金属"", ""rbsa_industry_1"": ""贵金属"", ""rbsa_weight_1"": 71.38999999999999, ""rbsa_industry_2"": ""基本金属"", ""rbsa_weight_2"": 15.48, ""rbsa_industry_3"": """", ""rbsa_weight_3"": 0, ""momentum_20d"": 25.791910331384017, ""hurst_60d"": 0.763229958753681, ""calmar"": 2.9940568611758454, ""sector_rel_momentum"": 18.8, ""sector_rel_calmar"": 3.0, ""top_holdings"": [{""stock_code"": ""600988"", ""stock_name"": ""赤峰黄金"", ""weight"": 10.19}, {""stock_code"": ""000975"", ""stock_name"": ""山金国际"", ""weight"": 9.45}, {""stock_code"": ""600547"", ""stock_name"": ""山东黄金"", ""weight"": 9.42}, {""stock_code"": ""600489"", ""stock_name"": ""中金黄金"", ""weight"": 9.3}, {""stock_code"": ""601069"", ""stock_name"": ""西部黄金"", ""weight"": 9.15}], ""holdings_report_date"": ""2026-06-30""}",2.065,"[""018751"", ""001466""]",2026-08-21 04:52:29,1,,sector,
